동적 계획법 1

번호        제목                             설명
24116       알고리즘 수업 - 피보나치 수 1     재귀 호출에 비해 동적 계획법이 얼마나 빠른지 확인해 봅시다.
9184        신나는 함수 실행                 재귀 호출만 생각하면 신이 난다! 아닌가요?
1904        01타일                          점화식의 값을 특정 상수로 나눈 나머지를 구하는 문제
9461        파도반 수열                     피보나치 수와 비슷한 규칙을 찾아 동적 계획법으로 푸는 문제
1912        연속합                          동적 계획법으로 합이 최대인 부분배열을 구하는 문제
1149        RGB거리                         i번째 집을 각각의 색으로 칠할 때, 1~i번째 집을 모두 칠하는 최소 비용으로 부분문제를 정의해봅시다.
1932        정수 삼각형                     각 층의 모든 칸마다 최댓값을 저장하면서 동적 계획법으로 푸는 문제
2579        계단 오르기                     i번째 계단에 오를 때, 몇 개의 연속한 계단을 올랐는지를 고려하여 부분문제를 정의해봅시다.
1463        1로 만들기                      메모이제이션으로 N을 1로 바꾸기 위해 주어진 연산을 몇 번 사용하는지 계산하는 문제
10844       쉬운 계단 수                    동적 계획법을 이용해 계단 수를 구하는 문제
2156        포도주 시식                     규칙에 따라 포도주를 마실 때, 최대로 마실 수 있는 포도주의 양을 구하는 문제
11053       가장 긴 증가하는 부분 수열       LIS(Longest Increasing Subsequence)를 구하는 문제
11054       가장 긴 바이토닉 부분 수열       LIS 응용 문제 1
2565        전깃줄                          LIS 응용 문제 2
9251        LCS                             LCS(Longest Common Subsequence)를 구하는 문제
12865       평범한 배낭                     대표적인 DP 문제 중 하나인 "냅색 문제"
